Id,Nome centrale,N. pozzi,Minerale,Comune,Provincia,Regione,Operatore,Longitudine,Latitudine,Area (m2
101,CELLINO,23,Gas,CELLINO ATTANASIO,Teramo,ABRUZZO,EDISON STOCCAGGIO,13.869178,42.612249,6.88
107,FIUME TRESTE STOCCAGGIO,112,Olio/Gas,CUPELLO,Chieti,ABRUZZO,STOGIT,14.699567,42.022206,104.15
31,GROTTOLE FERRANDINA,15,Olio,SALANDRA,Matera,BASILICATA,GEOGASTOCK,16.356769,40.579972,16.0
103,ALFONSINE STOCCAGGIO,12,Olio/Gas,ALFONSINE,Ravenna,EMILIA ROMAGNA,STOGIT,11.986471,44.532432,6.13
106,CORTEMAGGIORE STOCCAGGIO,57,Olio/Gas,CORTEMAGGIORE,Piacenza,EMILIA ROMAGNA,STOGIT,9.959758,44.998825,78.12
108,MINERBIO STOCCAGGIO,57,Olio/Gas,MINERBIO,Bologna,EMILIA ROMAGNA,STOGIT,11.498458,44.609217,44.585
110,SABBIONCELLO STOCCAGGIO,37,Olio/Gas,TRESIGALLO,Ferrara,EMILIA ROMAGNA,STOGIT,11.899622,44.798986,62.3
115,SAN POTITO E COTIGNOLA,18,Gas,BAGNACAVALLO,Ravenna,EMILIA ROMAGNA,EDISON STOCCAGGIO,11.947643,44.419917,41.946000000000005
104,BORDOLANO STOCCAGGIO,10,Olio/Gas,BORDOLANO,Cremona,LOMBARDIA,STOGIT,9.980156,45.287448,10.81
105,BRUGHERIO STOCCAGGIO,9,Olio/Gas,CINISELLO BALSAMO,Milano,LOMBARDIA,STOGIT,9.233198,45.563219,15.0
109,RIPALTA STOCCAGGIO,40,Olio/Gas,RIPALTA GUERINA,Cremona,LOMBARDIA,STOGIT,9.700819,45.311656,36.59
111,SERGNANO STOCCAGGIO,38,Olio/Gas,SERGNANO,Cremona,LOMBARDIA,STOGIT,9.689169,45.4272,18.675
112,SETTALA STOCCAGGIO,38,Olio/Gas,SETTALA,Milano,LOMBARDIA,STOGIT,9.403481,45.450144,66.99
102,COLLALTO,21,Gas,COLFOSCO DI SUSEGANA,Treviso,VENETO,EDISON STOCCAGGIO,12.189111,45.851602,14.739
