Minerale,Ub,Regione,Titolo,Anno,Produzione,Operatore,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale
Gas,Terra,Lombardia,AGNADELLO,1981.0,18440.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1982.0,84437.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1983.0,84168.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1984.0,58126.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1985.0,34270.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1986.0,29898.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1987.0,25877.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1988.0,17830.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,AGNADELLO,1989.0,4751.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1980.0,40.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1981.0,43.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1982.0,56.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1983.0,43.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1984.0,91.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1985.0,16.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1986.0,12.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1987.0,268.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1988.0,189.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1989.0,78.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1990.0,63.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1991.0,33.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1992.0,119.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1993.0,9.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1994.0,87.0,NoName,,,,,,,,,,,,,
Gas,Terra,Abruzzo,ALANNO,1995.0,20.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1989.0,8800.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1990.0,12031.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1991.0,3052.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1992.0,2740.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1993.0,3966.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1994.0,2186.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1995.0,1066.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1996.0,592.0,NoName,,,,,,,,,,,,,
Gas,Terra,Veneto,ARCADE,1997.0,347.0,NoName,,,,,,,,,,,,,
Gas,Terra,Emilia Romagna,ARCETO,1997.0,6324.0,NoName,,,,,,,,,,,,,
Gas,Terra,Emilia Romagna,ARCETO,1998.0,11138.0,NoName,,,,,,,,,,,,,
Gas,Terra,Emilia Romagna,ARCETO,1999.0,10485.0,NoName,,,,,,,,,,,,,
Gas,Terra,Emilia Romagna,ARCETO,2000.0,2330.0,NoName,,,,,,,,,,,,,
Gas,Terra,Emilia Romagna,ARCETO,2001.0,227.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1980.0,5096.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1981.0,2471.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1982.0,3128.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1983.0,4672.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1984.0,4349.0,NoName,,,,,,,,,,,,,
Gas,Terra,Lombardia,BAGNOLO MELLA,1985.0,4005.0,NoName,,,,,,,,,,,,,
